conf,conf_float,mrs,mrs_err20
conf0,0.0,63.45585155851559,12.691170311703118
conf1,1.0,38.69115891158912,7.738231782317825
conf2,2.0,39.79369793697937,7.958739587395875
conf3,3.0,40.861517415174156,8.172303483034831
conf4,4.0,39.05988459884598,7.811976919769197
conf5,5.0,23.978083780837803,4.7956167561675604
conf6,6.0,19.050256502565023,3.810051300513005
conf7,7.0,8.99869498694987,1.799738997389974
conf8,8.0,5.592535775357754,1.1185071550715509
conf9,9.0,2.1403735037350375,0.42807470074700754
conf10,10.0,1.9832738327383277,0.39665476654766557
