conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,errl_fit_sim,errh_fit_sim,errl_fit_obs,errh_fit_obs,sum_mask10_sim,sum_mask10_obs,sum_mask50_sim,sum_mask50_obs,conf_,wide_
conf0,4.8mrs0,5.0,4.8453898429870605,8.402463946217833e-05,1.0,0.1736605018377304,,,,,,,5.0,4.279728412628174,5.0,2.224168300628662,0.0,4.8
conf0,9.6mrs0,21.0,19.938312530517578,0.00048050589019481174,1.0,0.6343601942062378,,,,,,,21.0,17.690401077270508,21.0,9.691926956176758,0.0,9.6
conf0,14.3mrs0,49.0,45.70564270019531,0.0012013312618673838,1.0,1.150960922241211,,,,,,,49.0,41.62489318847656,49.0,22.730775833129883,0.0,14.3
conf0,19.1mrs0,89.0,82.44496154785156,0.0017577843310435577,1.0,1.5257320404052734,,,,,,,89.0,76.345458984375,89.0,45.57740020751953,0.0,19.1
conf0,23.9mrs0,137.0,124.79022216796875,0.0023023223828054517,1.0,1.6790517568588257,,,,,,,137.0,117.45813751220703,137.0,76.58626556396484,0.0,23.9
conf0,28.7mrs0,197.0,177.34222412109375,0.002874442396337921,1.0,1.7652537822723389,,,,,,,197.0,169.9085235595703,197.0,119.6501235961914,0.0,28.7
conf0,33.5mrs0,277.0,243.0982666015625,0.0032086586909027006,1.0,1.814860463142395,,,,,,,277.0,235.29673767089844,277.0,173.96994018554688,0.0,33.5
conf0,38.3mrs0,357.0,309.55560302734375,0.0038149236904936345,1.0,1.8465784788131714,,,,,,,357.0,301.8498229980469,357.0,238.607666015625,0.0,38.3
conf0,43.0mrs0,457.0,394.17315673828125,0.004194553524166391,1.0,1.815573811531067,,,,,,,457.0,386.234375,457.0,312.1698303222656,0.0,43.0
conf0,47.8mrs0,561.0,469.7215881347656,0.0052917979823896835,1.0,1.894646406173706,,,,,,,561.0,462.4881591796875,561.0,387.30975341796875,0.0,47.8
conf0,52.6mrs0,673.0,558.212646484375,0.005849027999727118,1.0,1.8413476943969727,,,,,,,673.0,551.0153198242188,673.0,469.01373291015625,0.0,52.6
conf0,57.4mrs0,805.0,666.1077270507812,0.006461967694262463,1.0,1.861013412475586,,,,,,,805.0,658.9302978515625,805.0,569.1653442382812,0.0,57.4
conf0,62.2mrs0,949.0,763.883544921875,0.008435026298450977,1.0,1.8183072805404663,,,,,,,949.0,756.6781005859375,949.0,672.070556640625,0.0,62.2
conf0,67.0mrs0,1101.0,880.78857421875,0.00813743349168757,1.0,1.7678459882736206,,,,,,,1101.0,873.1348876953125,1101.0,778.8352661132812,0.0,67.0
conf0,71.7mrs0,1265.0,964.4052124023438,0.010220566569660434,1.0,1.714455008506775,,,,,,,1265.0,957.5164794921875,1265.0,866.76171875,0.0,71.7
