conf,wide,sum_sim,sum_obs,rms_obs,max_sim,max_obs,sum_fit_sim,sum_fit_obs,conf_,wide_,sum_obs/sum_sim,sum_fit_obs/sum_fit_sim
conf1,2.9mrs0,39.46875,31.15625,0.0007592748559355815,1.0,0.677734375,39.46875,31.875,1.0,2.9,0.78955078125,0.8076171875
conf1,5.7mrs0,157.875,114.125,0.0025507110616532383,1.0,1.1640625,157.875,117.375,1.0,5.7,0.72265625,0.74365234375
conf1,8.6mrs0,355.0,234.25,0.004241758971707159,1.0,1.349609375,355.0,242.25,1.0,8.6,0.65966796875,0.6826171875
conf1,11.4mrs0,631.5,371.75,0.006368294136189682,1.0,1.3837890625,631.5,384.75,1.0,11.4,0.5888671875,0.609375
conf1,14.2mrs0,986.5,496.75,0.008896382483327149,1.0,1.376953125,986.5,514.5,1.0,14.2,0.50341796875,0.521484375
conf1,17.1mrs0,1420.0,589.5,0.011673320690138102,1.0,1.26953125,1420.0,611.5,1.0,17.1,0.4150390625,0.4306640625
conf1,19.9mrs0,1934.0,629.0,0.014659519006219942,1.0,1.1318359375,1934.0,653.0,1.0,19.9,0.3251953125,0.337646484375
conf1,22.8mrs0,2524.0,613.0,0.017690962751333326,1.0,0.97509765625,2524.0,637.5,1.0,22.8,0.242919921875,0.252685546875
conf1,25.7mrs0,3198.0,546.5,0.020066347775489334,1.0,0.8125,3198.0,570.5,1.0,25.7,0.1708984375,0.1783447265625
conf1,28.5mrs0,3946.0,450.0,0.021740428649656425,1.0,0.64404296875,3946.0,473.25,1.0,28.5,0.114013671875,0.11993408203125
conf1,31.4mrs0,4776.0,345.5,0.02272451673109249,1.0,0.493896484375,4776.0,369.75,1.0,31.4,0.07232666015625,0.077392578125
conf1,34.2mrs0,5680.0,249.625,0.023210905093181574,1.0,0.357666015625,5680.0,275.5,1.0,34.2,0.0439453125,0.048492431640625
conf1,37.1mrs0,6672.0,172.875,0.02343713223833929,1.0,0.248291015625,6672.0,202.875,1.0,37.1,0.025909423828125,0.0304107666015625
conf1,39.9mrs0,7736.0,121.3125,0.022916809804476544,1.0,0.169677734375,7736.0,157.125,1.0,39.9,0.01568603515625,0.0203094482421875
conf1,42.8mrs0,8880.0,88.0,0.02191009900852471,1.0,0.1312255859375,8880.0,130.625,1.0,42.8,0.00991058349609375,0.01470947265625
